q_MeV 3,spectrum,step_MeV,total_flux,q_MeV
0,0,5.04E-03,5.97E+10,0
0.00504,1,,,50.00504
0.01008,1,,,50.01008
0.01512,1,,,50.01512
0.02016,1,,,50.02016
0.0252,1,,,50.0252
0.03024,1,,,50.03024
0.03528,1,,,50.03528
0.04032,1,,,50.04032
0.04537,1,,,50.04537
0.05041,1,,,50.05041
0.05545,1,,,50.05545
0.06049,1,,,50.06049
0.06553,1,,,50.06553
0.07057,1,,,50.07057
0.07561,1,,,50.07561
0.08065,1,,,50.08065
0.08569,1,,,50.08569
0.09073,1,,,50.09073
0.09577,1,,,50.09577
0.10081,1,,,50.10081
0.10585,1,,,50.10585
0.11089,1,,,50.11089
0.11593,1,,,50.11593
0.12097,1,,,50.12097
0.12601,1,,,50.12601
0.13106,1,,,50.13106
0.1361,1,,,50.1361
0.14114,1,,,50.14114
0.14618,1,,,50.14618
0.15122,1,,,50.15122
0.15626,1,,,50.15626
0.1613,1,,,50.1613
0.16634,1,,,50.16634
0.17138,1,,,50.17138
0.17642,1,,,50.17642
0.18146,1,,,50.18146
0.1865,1,,,50.1865
0.19154,1,,,50.19154
0.19658,1,,,50.19658
0.20162,1,,,50.20162
0.20666,1,,,50.20666
0.21171,1,,,50.21171
0.21675,1,,,50.21675
0.22179,1,,,50.22179
0.22683,1,,,50.22683
0.23187,1,,,50.23187
0.23691,1,,,50.23691
0.24195,1,,,50.24195
0.24699,1,,,50.24699
0.25203,1,,,50.25203
0.25707,1,,,50.25707
0.26211,1,,,50.26211
0.26715,1,,,50.26715
0.27219,1,,,50.27219
0.27723,1,,,50.27723
0.28227,1,,,50.28227
0.28731,1,,,50.28731
0.29235,1,,,50.29235
0.2974,1,,,50.2974
0.30244,1,,,50.30244
0.30748,1,,,50.30748
0.31252,1,,,50.31252
0.31756,1,,,50.31756
0.3226,1,,,50.3226
0.32764,1,,,50.32764
0.33268,1,,,50.33268
0.33772,1,,,50.33772
0.34276,1,,,50.34276
0.3478,1,,,50.3478
0.35284,1,,,50.35284
0.35788,1,,,50.35788
0.36292,1,,,50.36292
0.36796,1,,,50.36796
0.373,1,,,50.373
0.37804,1,,,50.37804
0.38309,1,,,50.38309
0.38813,1,,,50.38813
0.39317,1,,,50.39317
0.39821,1,,,50.39821
0.40325,1,,,50.40325
0.40829,1,,,50.40829
0.41333,1,,,50.41333
0.41837,1,,,50.41837
0.42341,1,,,50.42341
100,0,,,100
